VideoGameID,Title,Publisher,Year,Availability,Inventory,Genre,Rank
V0207,Link's Crossbow Training,Nintendo,2007,Available,15,Action/Adventure,200
V0209,Destiny,Activision,2014,Available,8,Action/Adventure,201
V0210,Tekken 2,Namco,1996,Available,12,Fighting,202
V0211,Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,2015,Available,14,Adventure,203
V0212,Super Mario World: Super Mario Advance 2,Nintendo,2002,Available,13,Platformer/Racing,204
V0213,LEGO Star Wars: The Complete Saga,LucasArts,2007,Available,4,Action/Adventure,205
V0214,Cooking Mama,Majesco,2006,Available,2,Action/Adventure,206
V0216,Super Mario Advance,Nintendo,2001,Available,15,Platformer/Racing,207
V0217,Assassin's Creed II,Ubisoft,2009,Available,6,Action/Adventure,208
V0218,Super Smash Bros.,Nintendo,1999,Available,7,Action/Adventure,209
V0219,Assassin's Creed,Ubisoft,2007,Available,3,Action/Adventure,210
V0220,Batman: Arkham City,Warner Bros. Interactive,2011,Available,7,Action/Adventure,211
V0221,Forza Motorsport 3,Microsoft Game Studios,2009,Available,9,Racing,212
V0222,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,2010,Available,5,Action/Adventure,213
V0223,Final Fantasy IX,Square,2000,Available,10,RPG,214
V0224,Final Fantasy X-2,Square Enix,2003,Available,5,RPG,215
V0225,Sid Meier's Civilization VI,2K Games,2016,Available,4,Strategy,216
V0226,Tomb Raider (2013),Square Enix,2013,Available,12,Adventure,217
V0227,Super Mario Maker 2,Nintendo,2019,Available,10,Platformer/Racing,218
V0228,Pokemon Stadium,Nintendo,2000,Available,11,RPG,219
V0231,Super Mario Advance 4: Super Mario Bros. 3,Nintendo,2003,Available,7,Platformer/Racing,220
V0232,Crash Bandicoot: The Wrath of Cortex,Universal Interactive,2001,Available,5,Action/Adventure,221
V0233,Super Smash Bros. for Wii U,Nintendo,2014,Available,5,Action/Adventure,222
V0234,Final Fantasy XIII,Square Enix,2010,Available,4,RPG,223
V0235,Gran Turismo 5 Prologue,Sony Computer Entertainment,2008,Available,5,Action/Adventure,224
V0236,Dr. Mario,Nintendo,1990,Available,1,Platformer/Racing,225
V0238,Pokemon Pinball,Nintendo,1999,Available,8,Sports,226
V0240,The Forest,Endnight Games Ltd,2014,Available,9,Action/Adventure,227
V0241,Donkey Kong 64,Nintendo,1999,Available,3,Action/Adventure,228
V0242,Just Dance 2,Ubisoft,2010,Available,7,Action/Adventure,229
V0243,Tomb Raider II,Eidos Interactive,1997,Available,5,Adventure,230
V0244,Madden NFL 2004,EA Sports,2003,Available,4,Sports,231
V0246,Fallout: New Vegas,Bethesda Softworks,2010,Available,9,Action/Adventure,232
V0247,Gran Turismo 6,Sony Computer Entertainment America,2013,Available,5,Action/Adventure,233
V0248,Kingdom Hearts II,Square Enix,2006,Available,15,Action/Adventure,234
V0249,Nintendo Land,Nintendo,2012,Available,7,Action/Adventure,235
V0250,Super Mario Land 3: Wario Land,Nintendo,1994,Available,12,Platformer/Racing,236
V0251,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995,Available,5,Action/Adventure,237
V0252,Medal of Honor: Rising Sun,Electronic Arts,2003,Available,2,Action/Adventure,238
V0254,Kirby's Dream Land,Nintendo,1992,Available,13,Action/Adventure,239
V0255,Microsoft Flight Simulator,Microsoft,1996,Available,2,Simulation,240
V0256,Guitar Hero II,RedOctane,2006,Available,11,Action/Adventure,241
V0258,Resident Evil 5,Capcom,2009,Available,3,Action/Adventure,242
V0259,Fable III,Microsoft Game Studios,2010,Available,7,Action/Adventure,243
V0260,Mario & Sonic at the Olympic Games,Sega,2008,Available,13,Platformer/Racing,244
V0261,Grand Theft Auto: Vice City Stories,Rockstar Games,2006,Available,6,Action/Adventure,245
V0262,FIFA Soccer 11,EA Sports,2010,Available,2,Sports,246
V0263,Super Mario Bros. Deluxe,Nintendo,1999,Available,1,Platformer/Racing,247
V0264,Final Fantasy XV,Square Enix,2016,Available,14,RPG,248
V0266,Tony Hawk's Pro Skater,Activision,1999,Available,8,Action/Adventure,249
V0267,Warzone 2100,Eidos Interactive,1999,Available,5,Action/Adventure,250
V0268,Spyro the Dragon,Sony Computer Entertainment,1998,Available,15,Action/Adventure,251
V0269,Gears of War,Microsoft Game Studios,2006,Available,12,Action/Adventure,252
V0270,Gears of War 2,Microsoft Game Studios,2008,Available,10,Action/Adventure,253
V0271,Halo 5: Guardians,Microsoft Studios,2015,Available,3,Action/Adventure,254
V0272,Halo: Combat Evolved,Microsoft,2001,Available,4,Action/Adventure,255
V0273,Guitar Hero III: Legends of Rock,RedOctane,2007,Available,2,Action/Adventure,256
V0274,Uncharted: Drake's Fortune,Sony Computer Entertainment,2007,Available,7,Adventure,257
V0275,Resident Evil 2,Capcom,1998,Available,12,Action/Adventure,258
V0276,Fallout 3,Bethesda Softworks,2008,Available,13,Action/Adventure,259
V0277,Splatoon,Nintendo,2015,Available,6,Action/Adventure,260
V0278,Madden NFL 06,EA Sports,2005,Available,11,Sports,261
V0279,Stardew Valley,Chucklefish,2016,Available,13,Action/Adventure,262
V0280,Dragon Quest VIII: Journey of the Cursed King,Square Enix,2005,Available,9,Action/Adventure,263
V0281,Monster Hunter Freedom 3,Capcom,2010,Available,13,Action/Adventure,28
V0282,Diddy Kong Racing,Nintendo,1997,Available,3,Racing,264
V0283,Pokemon Mystery Dungeon: Explorers of Time / Darkness,Nintendo,2008,Available,6,RPG,22
V0286,Crash Bandicoot N. Sane Trilogy,Activision,2017,Available,1,Action/Adventure,265
V0289,Crash Team Racing,Sony Computer Entertainment,1999,Available,14,Racing,266
V0291,The Legend of Zelda: Phantom Hourglass,Nintendo,2007,Available,4,Adventure,267
V0293,Driver 2,Atari,2000,Available,12,Action/Adventure,268
V0294,The Simpsons: Hit & Run,VU Games,2003,Available,15,Simulation,269
V0295,World of Warcraft: Cataclysm,Blizzard Entertainment,2010,Available,9,Action/Adventure,270
V0296,Tony Hawk's Pro Skater 2,Activision,2000,Available,12,Action/Adventure,271
V0298,The Lord of the Rings: The Two Towers,Electronic Arts,2002,Available,9,Action/Adventure,272
V0299,Tomb Raider,Eidos Interactive,1996,Available,12,Adventure,273
V0300,God of War,Sony Computer Entertainment,2005,Available,15,Action/Adventure,274
V0301,The Legend of Zelda: A Link to the Past,Nintendo,1992,Available,11,Adventure,275
V0302,Left 4 Dead,Valve Corporation,2008,Available,8,Action/Adventure,276
V0303,Forza Motorsport 4,Microsoft Studios,2011,Available,1,Racing,277
V0305,Nintendogs + cats,Nintendo,2011,Available,1,Action/Adventure,278
V0306,"Pokemon: Let's Go, Pikachu!",Nintendo,2018,Available,8,RPG,279
V0307,BioShock Infinite,2K Games,2013,Available,11,Action/Adventure,280
V0308,Mario & Luigi: Bowser's Inside Story,Nintendo,2009,Available,1,Platformer/Racing,281
V0310,Mario & Sonic at the Olympic Winter Games,Sega,2009,Available,15,Platformer/Racing,282
V0311,Overwatch,Blizzard Entertainment,2016,Available,1,Action/Adventure,283
V0312,Madden NFL 2005,EA Sports,2004,Available,8,Sports,284
V0314,Star Wars Battlefront II (2017),Electronic Arts,2017,Available,12,Action/Adventure,285
V0315,Dead Island,Deep Silver,2011,Available,6,Action/Adventure,286
V0316,Arma 2: Operation Arrowhead,Meridian4,2010,Available,10,Action/Adventure,287
V0317,ARK: Survival Evolved,Studio Wildcard,2015,Available,12,Action/Adventure,288
V0318,LittleBigPlanet,Sony Computer Entertainment,2008,Available,13,Action/Adventure,289
V0319,Riven: The Sequel to Myst,Red Orb,1997,Available,3,Action/Adventure,290
V0320,StarCraft II: Wings of Liberty,Blizzard Entertainment,2010,Available,3,Strategy,291
V0321,Warcraft III: Reign of Chaos,Blizzard Entertainment,2002,Available,5,Action/Adventure,292
V0322,Pitfall!,Activision,1982,Available,1,Action/Adventure,293
V0323,Professor Layton and the Curious Village,Nintendo,2008,Available,13,Action/Adventure,294
V0324,Madden NFL 07,EA Sports,2006,Available,2,Sports,295
V0325,Spider-Man: The Movie,Activision,2002,Available,12,Action/Adventure,296
V0326,The Elder Scrolls IV: Oblivion,Take-Two Interactive,2009,Available,6,RPG,297
V0327,The Legend of Zelda: The Wind Waker,Nintendo,2003,Available,4,Adventure,298
V0328,Tony Hawk's Pro Skater 3,Activision,2001,Available,15,Action/Adventure,299
V0329,Winning Eleven: Pro Evolution Soccer 2007,Konami,2007,Available,3,Action/Adventure,300
V0330,The Legend of Zelda: Link's Awakening,Nintendo,2019,Available,12,Adventure,301
V0331,Zelda II: The Adventure of Link,Nintendo,1988,Available,8,Adventure,302
V0332,Michael Jackson: The Experience,Ubisoft,2010,Available,4,Action/Adventure,303
V0333,Tom Clancy's The Division,Ubisoft,2016,Available,11,Action/Adventure,304
V0334,Need for Speed: Most Wanted,Electronic Arts,2005,Available,5,Racing,305
V0335,Resistance: Fall of Man,Sony Computer Entertainment,2006,Available,8,Action/Adventure,306
V0336,Tom Clancy's Rainbow Six: Siege,Ubisoft,2015,Available,7,Action/Adventure,307
V0338,Watch Dogs,Ubisoft,2014,Available,9,Action/Adventure,308
V0339,Animal Crossing: City Folk,Nintendo,2008,Available,1,Simulation,309
V0340,Starbound,"Infocom, Inc.",2014,Available,10,Action/Adventure,310
V0341,Asteroids,Atari,1981,Available,11,Action/Adventure,311
V0342,Dragon Quest VII,Enix,2001,Available,5,Action/Adventure,312
V0343,Monster Hunter Generations,Capcom,2016,Available,8,Action/Adventure,313
V0345,Batman: Arkham Asylum,Eidos Interactive,2009,Available,12,Action/Adventure,314
V0347,God of War II,Sony Computer Entertainment,2007,Available,9,Action/Adventure,315
V0348,Namco Museum,Namco,2001,Available,10,Action/Adventure,316
V0349,Daxter,Sony Computer Entertainment,2006,Available,9,Action/Adventure,317
V0350,Super Paper Mario,Nintendo,2007,Available,6,Platformer/Racing,318
V0351,Assassin's Creed: Revelations,Ubisoft,2011,Available,4,Action/Adventure,319
V0352,Metal Gear Solid 3: Snake Eater,Konami,2004,Available,7,Action/Adventure,320
V0354,FIFA Soccer 06,EA Sports,2005,Available,5,Sports,321
V0355,Counter-Strike,Sierra Studios,2000,Available,15,Shooter,322
V0356,Monster Hunter 4 Ultimate,Capcom,2015,Available,2,Action/Adventure,323
V0357,Mortal Kombat 11,NetherRealm Studios,2019,Available,11,Fighting,324
V0358,Street Fighter IV,Capcom,2009,Available,15,Fighting,325
V0359,7 Days to Die,The Fun Pimps,2013,Available,4,Action/Adventure,326
V0362,Teenage Mutant Ninja Turtles,Ultra Games,1989,Available,1,Action/Adventure,327
V0363,Just Cause 2,Eidos Interactive,2010,Available,8,Action/Adventure,328
V0364,Excitebike,Nintendo,1985,Available,10,Action/Adventure,329
V0365,Frogger,Hasbro Interactive,1997,Available,3,Action/Adventure,330
V0368,Madden NFL 2003,EA Sports,2002,Available,4,Sports,331
V0369,Assassin's Creed: Unity,Ubisoft,2014,Available,15,Action/Adventure,332
V0370,Destiny 2,Activision,2017,Available,1,Action/Adventure,333
V0371,Super Mario World 2: Yoshi's Island,Nintendo,1995,Available,14,Platformer/Racing,29
V0372,Batman: Arkham Knight,Warner Bros. Interactive,2015,Available,14,Action/Adventure,334
V0373,FIFA 07 Soccer,EA Sports,2006,Available,14,Sports,335
V0374,The Sims 4,Electronic Arts,2014,Available,2,Simulation,336
V0375,Monster Hunter 4,Capcom,2013,Available,13,Action/Adventure,337
V0376,Street Fighter II Turbo,Capcom,1993,Available,12,Fighting,338
V0378,The Legend of Zelda: A Link Between Worlds,Nintendo,2013,Available,11,Adventure,339
V0379,Assassin's Creed Origins,Ubisoft,2017,Available,7,Action/Adventure,340
V0380,Far Cry 4,Ubisoft,2014,Available,10,Action/Adventure,341
V0381,Carnival Games,Global Star Software,2007,Available,2,Action/Adventure,342
V0382,World Soccer Winning Eleven 9,Konami,2006,Available,12,Action/Adventure,343
V0383,Forza Motorsport 2,Microsoft Game Studios,2007,Available,12,Racing,344
V0384,Namco Museum Vol.3,Namco,1997,Available,4,Action/Adventure,345
V0385,Tekken Tag Tournament,Namco,2000,Available,1,Fighting,346
V0386,Golf,Nintendo,1985,Available,13,Action/Adventure,347
V0387,Super Mario Maker,Nintendo,2015,Available,10,Platformer/Racing,348
V0388,Arma III,Bohemia Interactive,2013,Available,7,Action/Adventure,349
V0389,Diablo II,Blizzard Entertainment,2000,Available,15,Action/Adventure,350
V0390,Disney's Aladdin,Sega,1993,Available,2,Action/Adventure,351
V0391,EyeToy Play,Sony Computer Entertainment,2003,Available,5,Action/Adventure,352
V0392,Just Dance,Ubisoft,2009,Available,12,Action/Adventure,353
V0393,Monster Hunter: World,Capcom,2018,Available,1,Action/Adventure,354
V0394,Star Fox 64,Nintendo,1997,Available,9,Action/Adventure,355
V0395,The Last of Us: Part II,Sony Interactive Entertainment,2020,Available,7,Action/Adventure,356
V0396,World of Warcraft: Wrath of the Lich King,Blizzard Entertainment,2008,Available,6,Action/Adventure,357
V0398,The Legend of Zelda: Oracle of Ages / Seasons,Nintendo,2001,Available,12,Adventure,358
V0400,Namco Museum: 50th Anniversary,Namco,2005,Available,8,Action/Adventure,359
V0401,NBA 2K16,2K Sports,2015,Available,11,Sports,360
